Page,Date,Sum of PageViews
John_Kasich,2016-01-17,49370
John_Kasich,2016-01-24,44719
John_Kasich,2016-01-31,67780
John_Kasich,2016-02-07,110419
John_Kasich,2016-02-14,453909
John_Kasich,2016-02-21,200277
John_Kasich,2016-02-28,168895
John_Kasich,2016-03-06,301620
John_Kasich,2016-03-13,270752
John_Kasich,2016-03-20,467642
John_Kasich,2016-03-27,118511
John_Kasich,2016-04-03,107139
John_Kasich,2016-04-10,89185
John_Kasich,2016-04-17,130342
John_Kasich,2016-04-24,77167
John_Kasich,2016-05-01,73464
Megan_Fox,2015-07-05,13440
Megan_Fox,2015-07-12,36600
Megan_Fox,2015-07-19,58220
Megan_Fox,2015-07-26,70609
Megan_Fox,2015-08-02,65841
Megan_Fox,2015-08-09,62681
Megan_Fox,2015-08-16,79360
Megan_Fox,2015-08-23,184826
Megan_Fox,2015-08-30,89852
Megan_Fox,2015-09-06,65757
Megan_Fox,2015-09-13,55902
Megan_Fox,2015-09-20,62866
Megan_Fox,2015-09-27,50914
Megan_Fox,2015-10-04,60174
Megan_Fox,2015-10-11,57994
Megan_Fox,2015-10-18,56073
Megan_Fox,2015-10-25,47247
Megan_Fox,2015-11-01,43282
Megan_Fox,2015-11-08,49569
Megan_Fox,2015-11-15,56762
Megan_Fox,2015-11-22,49561
Megan_Fox,2015-11-29,49629
Megan_Fox,2015-12-06,49668
Megan_Fox,2015-12-13,78234
Megan_Fox,2015-12-20,62425
Megan_Fox,2015-12-27,55308
Megan_Fox,2016-01-03,76516
Megan_Fox,2016-01-10,65071
Megan_Fox,2016-01-17,53622
Megan_Fox,2016-01-24,58163
Megan_Fox,2016-01-31,62601
Megan_Fox,2016-02-07,58036
Megan_Fox,2016-02-14,110008
Megan_Fox,2016-02-21,92794
Megan_Fox,2016-02-28,82218
Megan_Fox,2016-03-06,76940
Megan_Fox,2016-03-13,71035
Megan_Fox,2016-03-20,59895
Megan_Fox,2016-03-27,64623
Megan_Fox,2016-04-03,61258
Megan_Fox,2016-04-10,63146
Megan_Fox,2016-04-17,222337
Megan_Fox,2016-04-24,75604
Megan_Fox,2016-05-01,68804
Ryan_Gosling,2015-07-05,15714
Ryan_Gosling,2015-07-12,43677
Ryan_Gosling,2015-07-19,75097
Ryan_Gosling,2015-07-26,71641
Ryan_Gosling,2015-08-02,71082
Ryan_Gosling,2015-08-09,57996
Ryan_Gosling,2015-08-16,62827
Ryan_Gosling,2015-08-23,56226
Ryan_Gosling,2015-08-30,63598
Ryan_Gosling,2015-09-06,58304
Ryan_Gosling,2015-09-13,58888
Ryan_Gosling,2015-09-20,71743
Ryan_Gosling,2015-09-27,63111
Ryan_Gosling,2015-10-04,51393
Ryan_Gosling,2015-10-11,58744
Ryan_Gosling,2015-10-18,53167
