Date,Page,Proj,Sum of PageViews
20100518-,Ryan_Gosling,en,2524
20100518-,Donald_Trump,en,8561
20100518-,Bernie_Sanders,en,348
20100518-,String_theory,en,3389
20100518-,Jack_Ma,en,60
20100518-,Sundar_Pichai,en,9
20100518-,Apache_Hadoop,en,2
20100518-,Independence_Day_(United_States),en,2019
20100518-,Hillary_Clinton,en,392
20100518-,Ted_Cruz,en,19
20100518-,John_Kasich,en,92
20100518-,Megan_Fox,en,14964
20100519-,Megan_Fox,en,17726
20100519-,Hillary_Clinton,en,410
20100519-,Ted_Cruz,en,11
20100519-,Shah_Rukh_Khan,en,260
20100519-,John_Kasich,en,123
20100519-,Independence_Day_(United_States),en,1832
20100519-,Apache_Hadoop,en,3
20100519-,Sundar_Pichai,en,144
20100519-,Ryan_Gosling,en,3434
20100519-,Donald_Trump,en,5405
20100519-,Bernie_Sanders,en,476
20100519-,String_theory,en,3113
20100519-,Jack_Ma,en,60
20100520-,Ryan_Gosling,en,3719
20100520-,Donald_Trump,en,4923
20100520-,Independence_Day_(United_States),en,2393
20100520-,John_Kasich,en,92
20100520-,Sundar_Pichai,en,666
20100520-,String_theory,en,3654
20100520-,Shah_Rukh_Khan,en,261
20100520-,Hillary_Clinton,en,423
20100520-,Megan_Fox,en,62495
20100520-,Bernie_Sanders,en,385
20100520-,Apache_Hadoop,en,7
20100520-,Jack_Ma,en,76
20100520-,Ted_Cruz,en,19
20100521-,Megan_Fox,en,45650
20100521-,John_Kasich,en,83
20100521-,String_theory,en,3709
20100521-,Shah_Rukh_Khan,en,303
20100521-,Sundar_Pichai,en,251
20100521-,Ted_Cruz,en,20
20100521-,Jack_Ma,en,85
20100521-,Apache_Hadoop,en,3
20100521-,Bernie_Sanders,en,399
20100521-,Ryan_Gosling,en,4153
20100521-,Hillary_Clinton,en,544
20100521-,Independence_Day_(United_States),en,2496
20100521-,Donald_Trump,en,4999
20100522-,Apache_Hadoop,en,3
20100522-,Ted_Cruz,en,12
20100522-,Sundar_Pichai,en,106
20100522-,Jack_Ma,en,65
20100522-,Shah_Rukh_Khan,en,283
20100522-,Donald_Trump,en,5173
20100522-,Independence_Day_(United_States),en,1586
20100522-,John_Kasich,en,89
20100522-,Ryan_Gosling,en,3719
20100522-,String_theory,en,3012
20100522-,Megan_Fox,en,27892
20100522-,Hillary_Clinton,en,556
20100522-,Bernie_Sanders,en,356
20100523-,Donald_Trump,en,4466
20100523-,Megan_Fox,en,20523
20100523-,Hillary_Clinton,en,646
20100523-,Ted_Cruz,en,5
20100523-,Shah_Rukh_Khan,en,344
20100523-,John_Kasich,en,66
20100523-,Ryan_Gosling,en,3436
20100523-,Independence_Day_(United_States),en,1830
20100523-,Apache_Hadoop,en,2
20100523-,Sundar_Pichai,en,59
20100523-,String_theory,en,3229
20100523-,Bernie_Sanders,en,500
20100523-,Jack_Ma,en,50
20100524-,Independence_Day_(United_States),en,2745
20100524-,Ryan_Gosling,en,2868
20100524-,Jack_Ma,en,73
20100524-,Apache_Hadoop,en,1
20100524-,Sundar_Pichai,en,51
20100524-,Bernie_Sanders,en,348
20100524-,Ted_Cruz,en,27
20100524-,Shah_Rukh_Khan,en,371
20100524-,Hillary_Clinton,en,777
20100524-,Megan_Fox,en,19696
20100524-,Donald_Trump,en,16014
20100524-,String_theory,en,3696
20100524-,John_Kasich,en,98
20100525-,Independence_Day_(United_States),en,3665
20100525-,Hillary_Clinton,en,538
20100525-,String_theory,en,3875
20100525-,Sundar_Pichai,en,52
20100525-,John_Kasich,en,153
20100525-,Bernie_Sanders,en,343
20100525-,Jack_Ma,en,72
20100525-,Donald_Trump,en,5991
20100525-,Ted_Cruz,en,11
20100525-,Megan_Fox,en,19558
20100525-,Apache_Hadoop,en,2
20100525-,Ryan_Gosling,en,2619
20100525-,Shah_Rukh_Khan,en,314
20100526-,Megan_Fox,en,21643
20100526-,Sundar_Pichai,en,33
20100526-,Ted_Cruz,en,24
20100526-,John_Kasich,en,188
20100526-,Apache_Hadoop,en,2
20100526-,Hillary_Clinton,en,556
20100526-,Donald_Trump,en,5761
20100526-,Independence_Day_(United_States),en,3105
20100526-,Bernie_Sanders,en,312
20100526-,Ryan_Gosling,en,2327
20100526-,String_theory,en,3647
20100526-,Jack_Ma,en,55
20100526-,Shah_Rukh_Khan,en,254
20100527-,Ted_Cruz,en,14
20100527-,Ryan_Gosling,en,2298
20100527-,Hillary_Clinton,en,503
20100527-,Sundar_Pichai,en,37
20100527-,Jack_Ma,en,56
20100527-,Donald_Trump,en,4978
20100527-,Independence_Day_(United_States),en,2599
20100527-,String_theory,en,3581
20100527-,John_Kasich,en,171
20100527-,Bernie_Sanders,en,344
20100527-,Shah_Rukh_Khan,en,216
20100527-,Apache_Hadoop,en,4
20100527-,Megan_Fox,en,26541
20100528-,Apache_Hadoop,en,3
20100528-,Sundar_Pichai,en,20
20100528-,John_Kasich,en,142
20100528-,Hillary_Clinton,en,372
20100528-,Ted_Cruz,en,8
20100528-,String_theory,en,2911
20100528-,Megan_Fox,en,21350
20100528-,Ryan_Gosling,en,1845
20100528-,Shah_Rukh_Khan,en,229
20100528-,Jack_Ma,en,49
20100528-,Bernie_Sanders,en,327
20100528-,Donald_Trump,en,3468
20100528-,Independence_Day_(United_States),en,2114
20100529-,John_Kasich,en,135
20100529-,Bernie_Sanders,en,256
20100529-,Jack_Ma,en,67
20100529-,Donald_Trump,en,4176
20100529-,Ted_Cruz,en,6
20100529-,Megan_Fox,en,20170
20100529-,Shah_Rukh_Khan,en,346
20100529-,String_theory,en,2969
20100529-,Apache_Hadoop,en,4
20100529-,Ryan_Gosling,en,2842
20100529-,Hillary_Clinton,en,487
20100529-,Independence_Day_(United_States),en,1971
20100529-,Sundar_Pichai,en,20
20100530-,Megan_Fox,en,19359
20100530-,John_Kasich,en,194
20100530-,Jack_Ma,en,42
20100530-,Donald_Trump,en,3178
20100530-,Sundar_Pichai,en,13
20100530-,Independence_Day_(United_States),en,2067
20100530-,Shah_Rukh_Khan,en,292
20100530-,Bernie_Sanders,en,248
20100530-,Hillary_Clinton,en,450
20100530-,String_theory,en,3033
20100530-,Ryan_Gosling,en,2657
20100530-,Apache_Hadoop,en,1
20100530-,Ted_Cruz,en,8
20100531-,Independence_Day_(United_States),en,4033
20100531-,Ryan_Gosling,en,2530
20100531-,Apache_Hadoop,en,1
20100531-,Jack_Ma,en,49
20100531-,Bernie_Sanders,en,269
20100531-,Ted_Cruz,en,11
20100531-,Sundar_Pichai,en,29
